,id,age,height_cm,weight_kgs,value_euro,finishing,dribbling,volleys,acceleration,crossing,heading_accuracy,body_type,overall_rating
6158,246395,17,170.18,62.1,180000.0,49,59,46,72,54,32,Lean,57
13340,226495,24,154.94,77.1,1400000.0,65,71,60,91,60,57,Lean,69
4956,247259,18,154.94,74.8,60000.0,53,42,40,57,28,55,Lean,50
12450,234987,21,175.26,67.1,1500000.0,66,68,64,78,60,55,Lean,68
13716,157741,33,182.88,74.8,625000.0,52,60,57,63,61,60,Normal,69
1359,219942,26,185.42,69.9,2100000.0,57,65,40,89,71,61,Lean,70
1592,220969,23,152.4,72.1,1500000.0,56,71,57,90,77,30,Normal,69
8588,240634,20,190.5,78.0,575000.0,29,41,31,47,32,66,Normal,63
7112,224705,27,182.88,73.0,220000.0,63,53,55,71,67,31,Normal,60
10909,216802,23,170.18,71.2,950000.0,65,70,48,73,38,55,Normal,66
16523,213480,28,170.18,64.9,5500000.0,38,74,40,80,60,44,Normal,75
500,237692,18,170.18,68.9,13500000.0,63,76,48,78,68,47,Lean,75
6454,236946,21,175.26,74.8,150000.0,38,55,30,62,45,46,Lean,58
2090,193030,33,198.12,89.8,450000.0,14,13,12,42,14,12,Normal,67
7778,237146,21,152.4,69.9,375000.0,60,57,49,70,58,60,Normal,61
6488,240245,20,152.4,77.1,230000.0,12,12,11,29,32,21,Lean,58
7848,232759,19,152.4,73.9,475000.0,27,62,28,66,59,41,Lean,61
14552,199152,33,193.04,88.0,1500000.0,73,70,70,49,44,76,Normal,71
17127,152554,33,175.26,64.9,4900000.0,34,75,59,78,74,68,Lean,77
4114,238670,23,154.94,79.8,210000.0,52,66,39,65,49,37,Normal,59
17334,182945,31,152.4,69.9,10000000.0,78,82,69,85,71,66,Lean,78
11461,190254,32,154.94,76.2,575000.0,64,59,59,76,36,64,Normal,66
6699,184801,31,154.94,67.1,140000.0,53,55,40,69,46,46,Lean,59
15517,209973,25,187.96,88.0,4200000.0,75,69,69,75,35,72,Normal,72
8918,202117,25,182.88,73.0,375000.0,49,59,41,84,55,54,Normal,63
1528,239335,20,175.26,68.0,3400000.0,69,79,42,68,68,42,Normal,70
9542,225191,27,190.5,82.1,475000.0,25,43,31,66,49,62,Normal,64
317,211354,24,182.88,79.8,11500000.0,66,78,70,67,70,68,Normal,77
11535,188185,30,175.26,74.8,600000.0,47,71,48,84,62,41,Normal,66
13627,210004,26,152.4,69.9,1100000.0,47,63,48,74,72,63,Normal,69
14951,175934,30,182.88,69.9,1600000.0,14,20,11,43,13,19,Lean,71
10846,211955,27,182.88,82.1,625000.0,37,53,29,61,26,53,Normal,66
17208,201095,30,187.96,84.8,5500000.0,14,24,15,49,18,11,Normal,77
17462,186832,30,172.72,74.8,9500000.0,55,82,76,77,78,68,Stocky,79
12001,222587,24,175.26,72.1,900000.0,51,60,34,70,58,65,Normal,67
6972,236563,21,185.42,74.8,350000.0,64,66,48,58,59,50,Lean,59
7009,236025,23,195.58,84.8,290000.0,64,59,47,60,25,61,Normal,60
6572,244533,22,175.26,64.9,190000.0,46,58,31,69,55,45,Lean,58
11589,172547,32,193.04,83.0,575000.0,62,57,69,58,53,72,Lean,66
10438,155264,32,185.42,79.8,375000.0,39,29,41,37,37,66,Normal,65
14378,214572,30,154.94,72.1,1300000.0,56,66,35,73,68,65,Normal,70
6706,244957,19,175.26,69.9,240000.0,35,56,26,76,57,41,Normal,59
10971,213449,23,154.94,73.9,850000.0,51,62,52,84,65,59,Normal,66
15785,215202,24,170.18,67.1,5500000.0,72,77,61,77,55,58,Normal,73
9,179813,32,185.42,77.1,60000000.0,89,80,90,75,70,89,Lean,89
17749,197655,28,195.58,92.1,21000000.0,42,64,39,46,17,80,Normal,82
15369,239732,21,185.42,77.1,5500000.0,58,66,51,78,59,51,Normal,72
11826,202170,30,187.96,91.2,600000.0,35,56,54,55,58,65,Normal,67
7545,242640,18,152.4,73.0,525000.0,56,65,46,68,49,40,Normal,61
6134,242322,23,152.4,69.9,150000.0,59,56,43,74,30,51,Lean,57
3776,206409,25,154.94,79.8,325000.0,60,61,44,83,50,50,Normal,61
1434,212351,27,182.88,73.0,1700000.0,48,63,44,56,57,70,Normal,70
7031,244714,19,152.4,71.2,325000.0,53,67,47,85,53,35,Lean,60
17601,193352,26,154.94,77.1,15500000.0,59,76,67,73,86,64,Normal,80
7660,221332,23,182.88,78.0,260000.0,13,16,13,41,12,19,Normal,61
14149,203398,26,154.94,74.8,1800000.0,40,66,35,68,68,67,Normal,70
8661,229343,29,172.72,59.9,350000.0,61,64,53,74,56,51,Normal,63
4131,214896,24,152.4,71.2,210000.0,59,59,43,56,52,59,Stocky,59
7582,227515,23,154.94,74.8,350000.0,58,56,49,53,37,46,Lean,61
9124,187959,37,187.96,88.0,50000.0,11,27,11,32,18,11,Normal,63
17596,190264,29,175.26,68.9,15000000.0,75,84,69,79,78,53,Normal,80
1324,219914,25,172.72,69.9,2000000.0,30,64,38,79,63,60,Normal,70
7826,19521,36,193.04,92.1,120000.0,56,59,53,60,48,59,Stocky,61
4218,230660,22,187.96,86.2,190000.0,24,46,25,62,24,60,Normal,58
9665,213626,35,187.96,89.8,110000.0,19,13,13,46,19,12,Normal,64
15773,182959,33,193.04,88.0,2300000.0,12,13,11,28,13,12,Lean,73
16732,234568,20,154.94,71.2,10500000.0,64,75,64,81,71,61,Lean,75
1014,201877,24,152.4,71.2,4200000.0,53,80,54,83,66,20,Lean,72
16988,176483,32,187.96,84.8,5000000.0,32,35,32,48,40,76,Normal,76
12250,234282,23,190.5,81.2,1100000.0,39,64,22,54,44,62,Lean,67
15631,188416,29,182.88,73.9,2500000.0,51,63,60,56,68,74,Normal,72
11709,221665,28,182.88,73.9,600000.0,54,61,57,91,70,55,Normal,67
14394,177955,31,175.26,71.2,1300000.0,39,71,41,53,64,63,Normal,70
3560,224855,22,154.94,73.0,450000.0,45,61,45,62,11,41,Normal,62
3301,233033,29,185.42,82.1,290000.0,37,53,24,48,30,72,Normal,63
5723,242229,18,185.42,78.0,140000.0,10,24,12,50,13,7,Lean,55
12508,198103,30,193.04,84.8,675000.0,21,37,39,51,27,67,Normal,68
12002,211067,23,187.96,81.2,875000.0,23,44,34,65,25,70,Lean,67
3183,242631,23,185.42,78.9,550000.0,22,32,26,66,24,65,Stocky,64
6328,225778,21,172.72,68.0,190000.0,45,60,37,74,58,45,Normal,58
10952,237779,31,182.88,73.0,475000.0,21,26,27,60,43,67,Lean,66
1585,230164,35,154.94,74.8,425000.0,9,13,29,29,13,17,Normal,69
11894,211870,28,182.88,73.0,800000.0,64,70,67,77,62,53,Lean,67
7018,226550,24,190.5,79.8,270000.0,61,57,35,71,64,56,Normal,60
7385,234785,22,152.4,72.1,290000.0,29,63,32,65,44,49,Lean,60
15102,208892,25,182.88,72.1,3300000.0,59,72,43,74,70,66,Lean,72
6321,236796,20,193.04,83.0,220000.0,23,30,36,67,31,53,Lean,58
10584,237893,20,182.88,78.0,650000.0,22,53,35,75,63,53,Lean,65
14396,234787,21,172.72,68.9,2800000.0,61,76,57,83,60,48,Stocky,70
10050,235261,22,195.58,76.2,675000.0,24,38,32,55,27,69,Lean,65
16401,176687,31,154.94,78.9,3700000.0,29,71,28,70,69,71,Normal,74
17292,146460,35,182.88,73.9,2700000.0,54,62,53,53,59,60,Normal,77
3690,204515,26,187.96,87.1,350000.0,18,29,15,54,32,65,Normal,62
13880,199407,29,190.5,93.9,1400000.0,55,63,46,52,56,68,Normal,70
15175,234457,23,175.26,69.9,4700000.0,59,74,66,83,61,69,Normal,72
4428,236244,19,182.88,68.9,160000.0,24,54,27,74,46,54,Lean,57
2790,226924,25,154.94,74.8,600000.0,50,56,46,67,48,48,Lean,65
5859,243620,20,185.42,77.1,190000.0,39,53,41,54,44,48,Normal,56
14148,214662,26,154.94,69.9,2100000.0,73,73,63,67,66,64,Lean,70
43,220834,23,182.88,76.2,41500000.0,80,85,79,85,82,57,Normal,84
9205,203292,26,154.94,74.8,375000.0,48,54,19,71,58,53,Lean,63
12004,243834,19,182.88,73.0,1300000.0,50,73,56,80,68,46,Lean,67
6502,244578,26,154.94,72.1,120000.0,7,8,8,43,11,13,Normal,58
10786,229383,21,175.26,68.9,650000.0,31,64,34,75,56,60,Normal,65
8341,238689,31,154.94,81.2,280000.0,47,54,42,66,40,45,Normal,62
11815,214972,25,185.42,82.1,925000.0,37,58,34,54,51,57,Lean,67
14878,176732,33,185.42,82.1,1400000.0,28,37,34,53,40,62,Normal,71
3315,244570,19,187.96,88.0,575000.0,31,44,36,68,37,61,Normal,63
6431,247199,20,152.4,72.1,200000.0,58,62,47,74,38,55,Normal,58
15399,181349,32,182.88,79.8,2800000.0,71,71,71,80,70,56,Normal,72
10593,199491,26,175.26,64.9,550000.0,23,52,32,75,57,48,Normal,65
13834,177152,32,187.96,88.0,650000.0,17,14,16,44,13,11,Stocky,69
544,186805,29,172.72,69.9,6500000.0,66,81,64,91,72,50,Normal,75
3012,222519,29,182.88,74.8,350000.0,63,68,55,69,68,52,Normal,64
15889,219754,24,190.5,87.1,3700000.0,16,19,12,37,20,16,Lean,73
15413,229473,26,170.18,64.0,3800000.0,64,75,57,90,65,65,Normal,72
13925,191198,30,154.94,79.8,1300000.0,50,66,58,67,73,56,Normal,70
2756,231498,25,185.42,87.1,600000.0,23,53,24,50,39,69,Stocky,65
17003,225116,21,190.5,83.0,12000000.0,17,16,20,41,15,19,Lean,76
14856,216175,26,185.42,79.8,2200000.0,8,14,11,40,16,19,Lean,71
7730,182385,32,152.4,68.0,220000.0,62,59,52,77,59,51,Normal,61
11797,224962,24,167.64,60.8,1000000.0,63,74,68,92,61,42,Lean,67
8927,229507,29,190.5,81.2,300000.0,17,35,23,44,28,78,Normal,63
15367,189300,27,170.18,64.0,3000000.0,45,74,23,84,64,54,Lean,72
5096,243216,18,185.42,76.2,70000.0,21,27,26,59,20,49,Lean,51
4469,243801,20,185.42,74.8,190000.0,46,54,41,64,41,47,Lean,56
15461,178251,32,182.88,73.0,2000000.0,52,69,58,64,71,66,Lean,72
14415,194077,30,182.88,76.2,1400000.0,40,68,38,69,68,71,Lean,70
7360,245811,22,193.04,77.1,325000.0,62,54,51,53,45,71,Lean,60
5439,239799,19,175.26,69.9,140000.0,58,51,41,55,31,56,Normal,54
15930,49488,35,175.26,69.9,1200000.0,61,69,65,41,78,61,Normal,73
3841,246430,19,190.5,79.8,525000.0,65,55,47,64,41,62,Normal,61
14702,193201,27,172.72,73.0,2000000.0,63,75,60,83,73,50,Stocky,71
13867,213490,22,182.88,69.9,2600000.0,66,75,56,74,61,59,Normal,70
6507,177761,33,172.72,71.2,70000.0,51,53,33,51,54,59,Normal,58
12076,223839,24,175.26,68.0,1000000.0,48,68,38,75,69,49,Normal,67
12966,212803,24,170.18,64.0,1300000.0,65,67,61,78,64,55,Lean,68
16711,172113,32,152.4,73.0,4500000.0,39,61,45,55,43,65,Normal,75
1679,214911,29,154.94,81.2,825000.0,48,68,40,68,65,71,Normal,69
909,208159,24,187.96,88.9,4300000.0,76,64,54,64,45,70,Stocky,72
10837,188917,27,182.88,77.1,650000.0,51,59,53,90,54,54,Lean,66
10945,203733,26,182.88,73.9,775000.0,44,57,39,61,65,48,Lean,66
8373,242777,23,175.26,69.9,475000.0,65,54,56,76,46,58,Lean,62
16179,227503,20,182.88,74.8,9500000.0,74,75,63,81,69,61,Normal,74
10335,177568,32,152.4,74.8,300000.0,43,58,35,54,63,57,Normal,65
7756,238695,24,190.5,84.8,290000.0,30,30,24,55,28,62,Lean,61
117,230234,35,152.4,74.8,4500000.0,58,75,58,69,75,59,Stocky,80
8893,247182,19,182.88,74.8,675000.0,32,55,40,67,60,60,Lean,63
2250,239249,19,185.42,77.1,1500000.0,36,63,37,58,56,64,Lean,67
1135,150594,34,182.88,83.9,1500000.0,77,53,76,56,39,75,Normal,71
7506,245725,20,170.18,66.2,400000.0,32,54,34,70,63,52,Normal,61
7523,247257,20,185.42,79.8,500000.0,27,35,29,63,34,61,Normal,61
7951,183549,28,187.96,83.0,210000.0,15,14,15,40,12,12,Normal,62
5700,244314,18,175.26,74.8,130000.0,44,55,39,67,46,41,Normal,55
6463,229252,22,187.96,83.0,170000.0,12,14,11,55,14,13,Lean,58
8735,200900,25,175.26,72.1,475000.0,58,61,56,69,62,52,Lean,63
15892,190569,32,190.5,88.0,2300000.0,17,18,14,43,15,12,Normal,73
8470,209454,25,182.88,72.1,290000.0,47,58,48,71,62,56,Normal,62
2933,193268,29,152.4,69.9,550000.0,42,68,58,79,66,44,Lean,65
9881,243251,20,175.26,69.9,700000.0,30,64,44,62,55,55,Normal,64
13623,239446,21,154.94,69.9,1500000.0,66,70,52,74,72,45,Lean,69
9945,188959,31,154.94,76.2,375000.0,56,62,57,66,57,48,Normal,64
4701,224619,25,154.94,68.0,80000.0,44,52,41,64,40,30,Normal,53
3717,247023,19,182.88,79.8,500000.0,61,61,44,72,53,60,Normal,62
14008,223422,32,154.94,78.0,1200000.0,40,40,28,54,32,70,Normal,70
344,172553,30,195.58,88.0,6000000.0,12,15,11,29,14,17,Lean,76
9899,224814,22,187.96,91.2,775000.0,22,32,27,47,29,64,Normal,64
2630,214489,37,175.26,69.9,90000.0,40,65,40,56,56,49,Normal,66
13221,232429,29,182.88,76.2,1100000.0,74,69,64,59,32,74,Normal,69
8601,230897,21,182.88,73.0,600000.0,59,57,58,84,48,49,Normal,63
1935,209018,32,154.94,83.0,600000.0,34,50,41,54,48,61,Normal,68
6541,243276,19,175.26,69.9,270000.0,65,65,59,67,62,50,Lean,58
15655,186351,29,187.96,89.8,4000000.0,67,77,66,67,67,78,Normal,73
1811,162053,33,185.42,87.1,525000.0,23,45,17,54,52,66,Normal,68
13928,208862,27,182.88,71.2,1800000.0,29,53,34,65,49,71,Lean,70
10032,232454,32,182.88,69.9,260000.0,17,28,23,51,21,45,Lean,64
5822,234185,20,182.88,74.8,150000.0,54,52,47,68,42,54,Normal,56
9510,233140,25,175.26,72.1,600000.0,55,65,50,84,54,36,Lean,64
17865,198009,26,187.96,77.1,29500000.0,11,19,19,57,11,12,Lean,84
2674,230404,27,182.88,71.2,475000.0,33,41,51,61,41,72,Normal,65
3020,178485,32,187.96,83.0,270000.0,11,11,11,40,14,11,Stocky,64
4043,222402,26,175.26,69.9,220000.0,51,55,28,80,54,56,Normal,60
11952,211850,28,152.4,81.2,825000.0,67,71,60,74,66,53,Normal,67
14182,198776,25,167.64,59.9,2300000.0,61,73,51,72,64,39,Lean,70
3440,216773,24,154.94,74.8,500000.0,61,66,55,84,64,49,Normal,63
8666,232413,22,182.88,72.1,550000.0,26,54,30,72,46,52,Lean,63
16423,232229,21,190.5,73.0,6500000.0,10,11,10,44,10,11,Normal,74
3735,206081,23,172.72,67.1,290000.0,48,58,39,78,52,57,Normal,61
2026,216268,25,175.26,72.1,1200000.0,66,70,58,83,58,49,Lean,68
6222,233804,20,190.5,82.1,220000.0,49,61,42,63,39,51,Lean,57
3927,203023,27,187.96,79.8,220000.0,28,45,16,60,47,55,Normal,60
15614,210438,26,152.4,69.9,3700000.0,62,80,54,77,72,42,Lean,72
5647,239007,18,170.18,68.0,180000.0,51,59,52,63,58,47,Lean,55
10043,244739,25,175.26,68.0,575000.0,45,63,37,75,53,39,Lean,64
4544,245069,19,182.88,71.2,120000.0,42,59,41,69,54,61,Lean,55
12220,214837,32,185.42,87.1,675000.0,69,55,66,41,29,74,Stocky,67
6357,240605,19,175.26,63.0,230000.0,46,59,37,72,45,40,Normal,58
1838,219684,24,175.26,71.2,1200000.0,62,70,57,90,59,55,Normal,68
10831,245242,21,175.26,68.0,975000.0,42,65,52,73,64,42,Lean,66
4139,235881,25,182.88,82.1,210000.0,59,57,57,66,41,56,Stocky,59
17646,220477,24,187.96,79.8,17500000.0,36,62,51,65,34,82,Normal,80
16326,219740,24,182.88,76.2,,73,80,54,78,66,64,Normal,74
5572,244225,19,185.42,74.8,90000.0,29,50,27,64,40,47,Lean,54
15358,199288,32,185.42,79.8,1800000.0,52,72,64,58,53,72,Lean,72
16348,121170,36,195.58,96.2,2600000.0,80,68,81,34,70,74,Normal,74
14837,211060,29,154.94,78.0,1900000.0,68,74,51,75,74,57,Lean,71
8414,235846,22,170.18,63.0,400000.0,44,66,50,74,62,47,Lean,62
4856,245570,19,154.94,76.2,50000.0,26,45,27,61,47,39,Lean,47
9355,217826,23,187.96,74.8,575000.0,57,64,53,76,59,61,Lean,64
10354,228759,23,154.94,71.2,800000.0,25,61,33,69,60,63,Lean,65
13045,234281,27,175.26,69.9,1100000.0,59,75,62,90,67,44,Lean,68
6052,243678,19,154.94,73.9,190000.0,29,53,30,68,55,49,Lean,57
9981,232724,31,170.18,63.0,425000.0,56,67,59,76,42,64,Lean,64
11359,205393,25,185.42,69.9,725000.0,42,44,27,65,47,54,Lean,66
9294,224763,21,187.96,78.0,900000.0,33,61,46,49,49,57,Lean,64
12137,179537,28,154.94,72.1,775000.0,53,66,67,55,61,63,Normal,67
13066,216102,27,182.88,74.8,950000.0,62,72,65,67,63,63,Lean,68
13483,244617,23,165.1,68.9,1500000.0,62,74,53,91,65,64,Stocky,69
6445,244885,20,152.4,73.9,180000.0,32,54,35,67,49,44,Normal,58
10614,241981,24,152.4,67.1,600000.0,32,69,42,81,60,52,Normal,65
7149,224686,26,152.4,60.8,250000.0,55,62,42,83,44,59,Lean,60
4386,236677,20,185.42,72.1,200000.0,30,30,29,55,30,53,Normal,57
17210,210822,24,175.26,69.9,9500000.0,49,75,52,78,80,60,Lean,77
1810,190724,28,185.42,86.2,950000.0,67,63,61,74,54,63,Normal,68
11133,215195,21,172.72,67.1,1000000.0,66,65,64,84,59,59,Normal,66
7169,233887,21,185.42,73.0,425000.0,34,54,30,57,45,59,Normal,60
5668,226423,21,182.88,68.9,130000.0,18,13,19,48,18,18,Normal,55
